Station (alphabetical by borough)	2013	2014	2015	2016	2017	2018	2017-2018 Change	2017-2018 Change	2018 Rank	LINE
Avenue I *	"2,283"	"2,250"	"2,235"	"1,962"	"1,111"	"1,096"	-15	-1.40%	414	F
Avenue J 	"6,036"	"6,060"	"6,009"	"6,136"	"6,154"	"6,058"	-96	-1.60%	250	Q
Avenue M 	"5,836"	"5,903"	"5,869"	"6,052"	"6,094"	"6,001"	-93	-1.50%	255	Q
Avenue N *	"3,411"	"3,419"	"3,410"	"3,187"	"2,217"	"2,087"	-130	-5.90%	392	F
Avenue P *	"2,757"	"2,767"	"2,804"	"2,688"	"1,821"	"1,710"	-111	-6.10%	408	F
Avenue U *	"3,738"	"3,857"	"3,894"	"1,399"	"2,285"	"2,627"	342	15.00%	380	N
Avenue U 	"6,821"	"6,922"	"6,975"	"7,384"	"7,391"	"7,323"	-68	-0.90%	203	Q
Avenue X *	"2,972"	"2,859"	"1,928"	"2,424"	"2,508"	"2,662"	154	6.10%	378	F
Bay 50 St 	"2,793"	"2,875"	"2,872"	"3,176"	"2,926"	"2,674"	-252	-8.60%	377	D
Bay Pkwy 	"7,111"	"7,322"	"7,501"	"8,069"	"7,837"	"7,719"	-118	-1.50%	194	D
Bay Pkwy *	"1,575"	"1,516"	"1,491"	"1,329"	729	623	-106	-14.50%	421	F
Bay Pkwy 	"6,990"	"7,301"	"7,164"	"10,955"	"9,328"	"7,261"	"-2,067"	-22.20%	206	N
Bay Ridge Av *	"8,079"	"8,283"	"8,379"	"8,415"	"4,173"	"7,236"	"3,063"	73.40%	208	R
Bay Ridge-95    St 	"5,974"	"6,051"	"6,101"	"6,090"	"5,969"	"5,812"	-157	-2.60%	258	R
Bedford Av 	"25,755"	"27,224"	"27,132"	"27,486"	"27,783"	"26,603"	"-1,180"	-4.20%	39	L
Bedford-Nostrand    Avs  	"7,300"	"7,778"	"8,197"	"8,487"	"8,741"	"8,821"	80	0.90%	173	G
Bergen St  	"4,070"	"3,923"	"3,823"	"3,884"	"3,853"	"3,653"	-200	-5.20%	335	3-Feb
Bergen St  	"11,562"	"11,570"	"11,548"	"11,529"	"11,306"	"11,174"	-132	-1.20%	137	F-G
Beverley Rd*	"2,340"	"2,690"	"2,894"	"3,059"	"3,267"	"3,350"	83	2.50%	349	Q
Beverly Rd  	"4,375"	"4,447"	"4,457"	"4,464"	"4,384"	"4,255"	-129	-2.90%	319	5-Feb
Brighton    Beach  	"12,185"	"12,498"	"12,794"	"13,035"	"12,587"	"12,065"	-522	-4.10%	128	B-Q
Broadway 	"3,368"	"3,500"	"4,011"	"4,340"	"4,452"	"4,467"	15	0.30%	312	G
Broadway    Junction     	"8,863"	"9,149"	"9,251"	"9,189"	"8,681"	"8,142"	-539	-6.20%	186	A-C-J-L-Z
Bushwick    Av-Aberdeen St 	"1,509"	"1,683"	"1,874"	"2,105"	"2,112"	"2,079"	-33	-1.60%	394	L
Canarsie-Rockaway    Pkwy 	"13,254"	"13,512"	"13,481"	"13,131"	"12,661"	"11,947"	-714	-5.60%	130	L
Carroll St  	"12,339"	"11,744"	"11,923"	"11,848"	"11,723"	"11,562"	-161	-1.40%	132	F-G
Central Av *	"1,744"	"3,282"	"3,715"	"3,884"	"1,929"	"2,393"	464	24.10%	386	M
Chauncey St  	"2,967"	"3,050"	"3,200"	"3,360"	"3,408"	"3,387"	-21	-0.60%	347	J-Z
Church Av  	"9,794"	"9,852"	"9,864"	"9,808"	"9,512"	"9,193"	-319	-3.40%	169	5-Feb
Church Av  	"17,638"	"17,473"	"17,811"	"17,482"	"17,186"	"16,528"	-658	-3.80%	82	B-Q
Church Av  *	"9,984"	"9,954"	"10,490"	"10,151"	"9,697"	"9,492"	-205	-2.10%	165	F-G
